"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"195","Gentoo","Biscoe",45.3,13.7,210,4300,"female",2008
"198","Gentoo","Biscoe",43.6,13.9,217,4900,"female",2008
"199","Gentoo","Biscoe",45.5,13.9,210,4200,"female",2008
"207","Gentoo","Biscoe",46.5,14.4,217,4900,"female",2008
"14","Adelie","Torgersen",38.6,21.2,191,3800,"male",2007
"15","Adelie","Torgersen",34.6,21.1,198,4400,"male",2007
"259","Gentoo","Biscoe",41.7,14.7,210,4700,"female",2009
"273","Gentoo","Biscoe",46.8,14.3,215,4850,"female",2009
"44","Adelie","Dream",44.1,19.7,196,4400,"male",2007
"45","Adelie","Dream",37,16.9,185,3000,"female",2007
"46","Adelie","Dream",39.6,18.8,190,4600,"male",2007
"155","Gentoo","Biscoe",48.7,14.1,210,4450,"female",2007
"303","Chinstrap","Dream",50.5,18.4,200,3400,"female",2008
