"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Adelie","Torgersen",39.1,18.7,181,3750,"male",2007
"2","Adelie","Torgersen",39.5,17.4,186,3800,"female",2007
"8","Adelie","Torgersen",39.2,19.6,195,4675,"male",2007
"11","Adelie","Torgersen",37.8,17.1,186,3300,NA,2007
"45","Adelie","Dream",37,16.9,185,3000,"female",2007
"142","Adelie","Dream",40.6,17.2,187,3475,"male",2009
"279","Chinstrap","Dream",51.3,19.2,193,3650,"male",2007
"280","Chinstrap","Dream",45.4,18.7,188,3525,"female",2007
"281","Chinstrap","Dream",52.7,19.8,197,3725,"male",2007
"146","Adelie","Dream",39,18.7,185,3650,"male",2009
"147","Adelie","Dream",39.2,18.6,190,4250,"male",2009
"117","Adelie","Torgersen",38.6,17,188,2900,"female",2009
"118","Adelie","Torgersen",37.3,20.5,199,3775,"male",2009
"201","Gentoo","Biscoe",44.9,13.3,213,5100,"female",2008
"202","Gentoo","Biscoe",45.2,15.8,215,5300,"male",2008
